Image,Cell_Line,Well,Timepoint,Cell_Count
UC-A12-t04.tif,UC,A12,t04,232
BM-C1-t10.tif,BM,C1,t10,292
AD-G5-t10.tif,AD,G5,t10,314
BM-C1-t28.tif,BM,C1,t28,11
UC-A12-t16.tif,UC,A12,t16,175
AD-E1-t22.tif,AD,E1,t22,224
AD-E1-t10.tif,AD,E1,t10,197
UC-A12-t28.tif,UC,A12,t28,3
UC-H7-t10.tif,UC,H7,t10,153
BM-F11-t16.tif,BM,F11,t16,329
AD-G5-t28.tif,AD,G5,t28,13
BM-C1-t04.tif,BM,C1,t04,174
noGrowth1.tif,Unknown,Unknown,Unknown,1
noGrowth2.tif,Unknown,Unknown,Unknown,5
UC-H7-t16.tif,UC,H7,t16,182
noGrowth4.tif,Unknown,Unknown,Unknown,2
BM-C1-t34.tif,BM,C1,t34,23
UC-H7-t28.tif,UC,H7,t28,58
BM-F11-t28.tif,BM,F11,t28,5
UC-A12-t34.tif,UC,A12,t34,3
BM-C1-t22.tif,BM,C1,t22,68
AD-E1-t34.tif,AD,E1,t34,29
noGrowth3.tif,Unknown,Unknown,Unknown,32
UC-H7-t22.tif,UC,H7,t22,167
AD-G5-t22.tif,AD,G5,t22,12
BM-F11-t22.tif,BM,F11,t22,85
AD-G5-t34.tif,AD,G5,t34,8
UC-H7-t34.tif,UC,H7,t34,30
UC-H7-t04.tif,UC,H7,t04,103
AD-G5-t04.tif,AD,G5,t04,362
BM-F11-t34.tif,BM,F11,t34,1
UC-A12-t10.tif,UC,A12,t10,266
BM-F11-t10.tif,BM,F11,t10,339
AD-E1-t16.tif,AD,E1,t16,180
BM-F11-t04.tif,BM,F11,t04,253
BM-C1-t16.tif,BM,C1,t16,297
AD-G5-t16.tif,AD,G5,t16,334
AD-E1-t28.tif,AD,E1,t28,93
AD-E1-t04.tif,AD,E1,t04,151
UC-A12-t22.tif,UC,A12,t22,38
